Krupa na Vrbasu ,3.75,2.90,1.60,1.40,2.00
Inđija Vojvodina,3.75,3.10,1.55,1.60,1.70
Al Ramtha Sahab,1.40,3.30,4.75,1.60,1.70
Asane Raufoss,1.60,3.60,3.00,2.65,1.20
Strommen Ranheim,3.75,3.60,1.40,2.20,1.35
KFUM Oslo Sandne,1.50,3.50,3.60,2.10,1.40
Grorud IL Oygard,1.45,3.50,3.75,2.00,1.45
Liepāja Metta / ,1.20,4.25,6.50,2.00,1.40
Hermannstadt Boto,2.90,2.85,1.85,1.50,1.85
El Entag El Harby ,2.50,2.55,2.25,1.35,2.20
El Geish Ismaily,2.10,2.55,2.75,1.40,2.00
HJK Helsinki RoP,1.02,6.00,15.00,2.55,1.25
SJK Seinajoki HI,1.85,2.80,2.95,1.50,1.90
Inter Turku FC L,1.40,3.40,4.25,1.80,1.55
Honka Akatemia R,1.30,3.75,5.00,1.95,1.45
Khimki Dinamo Mo,3.75,3.00,1.55,1.52,1.85
Sogndal Kongsvin,1.10,4.75,8.50,2.20,1.35
HamKam Stjordals,1.90,3.25,2.55,2.15,1.35
Partizan Bačka,-,5.50,15.00,2.20,1.35
Menemenspor Tuzl,2.80,3.00,1.85,1.60,1.75
Stal Mielec Pias,2.85,3.00,1.80,1.65,1.67
Rosenborg II Are,4.25,3.75,1.35,2.10,1.40
Boluspor Altınor,1.90,2.85,2.80,1.60,1.75
Vålerenga II Mos,1.65,3.60,2.85,2.50,1.25
Al Wihdat Al Jaz,1.40,3.30,4.40,1.65,1.67
Larissa Panathin,3.30,2.80,1.75,1.40,2.05
Ajax II Excelsio,1.62,3.75,2.90,2.90,1.18
Boulogne Villefr,1.85,2.65,3.20,1.35,2.20
Fulham Aston Vil,2.45,2.95,2.15,1.62,1.80
Cusco Deportivo ,1.40,3.40,4.25,1.75,1.60
AIK Mjallby,1.60,3.00,3.90,1.55,1.80
Kalmar Varbergs ,1.80,2.95,2.90,1.65,1.67
Nordsjaelland Ly,1.50,3.40,3.60,2.00,1.40
Uerdingen Meppen,1.95,3.00,2.55,1.80,1.55
Antalyaspor Deni,1.70,3.00,3.40,1.62,1.80
Örgryte GAIS,1.90,2.85,2.75,1.55,1.80
Aswan FC Al Masr,3.50,2.80,1.67,1.45,1.95
Debrecen Pécsi M,1.15,4.40,7.25,2.00,1.40
B36 HB,1.95,3.40,2.35,2.20,1.30
Dinamo Bükreş UTA,1.30,3.40,5.25,1.62,1.70
Deportes Santa Cru,2.00,2.90,2.55,1.62,1.70
Paderborn Hambur,2.55,3.10,1.90,1.90,1.50
Belenenses Famal,2.00,2.80,2.65,1.50,1.90
Juventus II Pro ,1.60,2.80,4.25,1.40,2.05
Troyes Clermont,2.10,2.60,2.65,1.35,2.20
Genk Oostende,1.50,3.40,3.60,2.05,1.40
Estoril Leixoes,1.85,2.75,3.00,1.45,1.95
Bologna Parma,1.70,3.25,3.20,1.80,1.62
Liverpool Arsena,1.40,4.00,4.00,2.35,1.35
Telstar Den Bosc,1.50,3.60,3.60,2.20,1.30
Melgar Alianza U,1.67,3.00,3.30,1.62,1.70
